#name, dm, ra, dec, rh, ellipticity, pa, m_V
cet2  17.38  19.47  -17.42  1.9  0.0  0.0  0.0
col1  21.31  82.85695833  -28.04252778  2.2  0.3  24.0  -4.2
#cet2  17.30  19.42  -17.515  1.9  0.0  0.0  0.0
eri2  22.8  56.08375  -43.5338056  2.31  0.48  72.6  -7.1
eri3  19.8  35.6888  -52.2847  0.315  0.44  109  -2.07
gru1  20.4  344.1765  -50.1633  2.23  0.41  4.0  -3.4
gru2  18.62  331.02  -46.44  6.0  0.0  0.0  -3.9
hor1  19.5  43.8820  -54.1188  1.41  0.0  0.0  -3.4
hor2  19.46  49.1338  -50.0181  2.09  0.52  127  -2.6
ind1  20.1  317.208  -51.1635  0.42  0.12  35.0  -1.5
ind2  21.65  309.72  -46.16  2.9  0.0  0.  -4.3
phe2  19.6  354.9975  -54.4060  1.38  0.47  164  -2.8
pic1  20.3  70.9475  -50.2830  1.18  0.47  78  -3.1
ret2  17.5  53.9493  -54.0466  6.3  0.6  68.0  -3.1
ret3  19.81  56.36  -60.45  2.4  0.0  0.0  -3.3
tuc2  18.8  342.9796  -58.5689  12.89  0.39  107  -3.8
tuc3  17.01  359.15  -59.6  6.0  0.  0.  -2.4
#tuc3  16.8  359.108  -59.5833  5.1  0.2 25  -1.3
tuc4  18.41  0.73  -60.85  11.8  0.4  11.0  -3.5
tuc5  18.71  354.35  -63.27  1.8  0.7  30.0  -1.6
des1  19.40  8.49917  -49.0386 0.245 0.41 112 -1.42
desJ  16.88  36.4267  3.06947  2.68  0.61  31.25  -1.1
